Items in the Home,Friends Going Shopping
-0.051626562,
-0.041621726,
-0.04133652,
-0.036272337,
-0.034788773,
-0.029415055,
-0.026323754,
-0.023386223,
-0.01852226,
-0.012108595,
-0.010878461,
-0.01029867,
-0.009777624,
-0.006887327,
-0.005389856,
-0.004433726,
-0.003638149,
-0.000831355,
-0.000531742,
0.001004884,
0.001018531,
0.001186862,
0.002253885,
0.006687998,
0.007782655,
0.007782655,
0.008298946,
0.011398378,
0.018496861,
0.020314255,
0.025472343,
0.031352287,
0.034430757,
0.034954575,
0.034954575,
0.035474647,
0.038703503,
0.042403529,
0.042689749,
0.043674572,
0.04434986,
0.044942987,
0.044942987,
0.047978683,
0.050171961,
0.055961126,
0.06551177,
0.069253588,
0.080287437,
0.081256834,
0.084228766,
0.096571216,
0.100112534,
0.104825964,
0.108157457,
0.108260608,
0.117309923,
0.127614716,
0.128104208,
0.128339456,
0.135046869,
0.137270993,
0.137270993,
0.137818532,
0.137998716,
0.14107006,
0.149016516,
0.152901263,
0.157394641,
0.169813135,
0.175287239,
0.177146938,
0.180942113,
0.187848778,
0.195272308,
0.197383933,
0.202893285,
0.205519357,
0.208359398,
0.214097254,
0.218761719,
0.218761719,
0.218828989,
0.220907079,
0.222021258,
0.222021258,
0.222321331,
0.223032109,
0.225343726,
0.225598659,
0.229285972,
0.230121623,
0.234135846,
0.234676857,
0.235738659,
0.236220246,
0.23889391,
0.243089088,
0.244936411,
0.244936411,
0.24632121,
0.2465622,
0.247768695,
0.250302158,
0.251866294,
0.255760673,
0.257365846,
0.258305617,
0.258305617,
0.270053194,
0.270869322,
0.274220077,
0.274247871,
0.276101767,
0.279383339,
0.280400172,
0.280939782,
0.281548699,
0.281551589,
0.28202524,
0.287916508,
0.292106795,
0.292106795,
0.292106795,
0.292723763,
0.294715626,
0.296473938,
0.299598362,
0.305132373,
0.309301852,
0.312475476,
0.316945453,
0.321855549,
0.322029486,
0.32353885,
0.325667153,
0.329323156,
0.339105386,
0.339105386,
0.342540632,
0.343848033,
0.353285569,
0.360698523,
0.371825965,
0.372889115,
0.372934991,
0.3756074,
0.376434293,
0.377993806,
0.383264821,
0.383595992,
0.387407327,
0.388381136,
0.390198399,
0.392614235,
0.394854796,
0.396288616,
0.40353409,
0.404144815,
0.411824825,
0.414900362,
0.418737017,
0.419703308,
0.419703308,
0.419985842,
0.424676547,
0.426628646,
0.434857089,
0.437560248,
0.446477303,
0.450864946,
0.450864946,
0.455258198,
0.45701845,
0.463674295,
0.465696477,
0.466024276,
0.467995424,
0.473147068,
0.473437264,
0.481040043,
0.482609834,
0.483157427,
0.484853705,
0.485617585,
0.486286128,
0.486728235,
0.491058971,
0.493111596,
0.497457182,
0.497809146,
0.507505794,
0.513516139,
0.514838579,
0.521786304,
0.5221943,
0.522654714,
0.522797356,
0.524007281,
0.527504319,
0.538692977,
0.540025268,
0.540080938,
0.544089005,
0.544654366,
0.557082454,
0.558072685,
0.56094427,
0.561086001,
0.564095828,
0.567426106,
0.568155392,
0.568922017,
0.570269711,
0.574114593,
0.574929036,
0.580194644,
0.583300759,
0.588619536,
0.588991702,
0.590324085,
0.601092639,
0.605793478,
0.61440071,
0.619571609,
0.621599011,
0.626501067,
0.63320124,
0.636713442,
0.642853658,
0.642996937,
0.644269994,
0.644937712,
0.649135247,
0.650167787,
0.652079113,
0.658475325,
0.658539964,
0.659046139,
0.659867602,
0.660045577,
0.662944198,
0.663078063,
0.663078063,
0.663740152,
0.664247644,
0.669472451,
0.669517579,
0.6730072,
0.674167332,
0.676693727,
0.680408468,
0.683187611,
0.684011735,
0.684011735,
0.685151346,
0.685151346,
0.685195175,
0.685559277,
0.693495357,
0.699127357,
0.699448187,
0.706393452,
0.708426513,
0.710088381,
0.711814835,
0.713742441,
0.714262039,
0.714346825,
0.714382349,
0.71479727,
0.721539439,
0.723315277,
0.729074852,
0.730896621,
0.734867966,
0.739830164,
0.740766483,
0.743286461,
0.749641625,
0.750480313,
0.750767152,
0.752590427,
0.756327589,
0.757367036,
0.757367036,
0.768434733,
0.768434733,
0.769205285,
0.772059449,
0.772989486,
0.776777593,
0.782536746,
0.783182409,
0.787024109,
0.788036868,
0.789930408,
0.801078732,
0.80162994,
0.80162994,
0.802425803,
0.803678454,
0.804630777,
0.805937419,
0.814428197,
0.815529946,
0.815535331,
0.815535331,
0.815553809,
0.817843917,
0.823829706,
0.824305769,
0.826350269,
0.829384851,
0.832871706,
0.832981279,
0.833283979,
0.837643899,
0.839289029,
0.83951689,
0.844998894,
0.845851957,
0.847512074,
0.848768577,
0.848918552,
0.848931466,
0.854023138,
0.854625613,
0.855386301,
0.855831073,
0.856470919,
0.858181945,
0.860275884,
0.861180755,
0.872918313,
0.877144512,
0.884387691,
0.887058448,
0.887660905,
0.888192062,
0.892142166,
0.892148174,
0.893719408,
0.894999549,
0.898357608,
0.899080112,
0.899080112,
0.90478329,
0.90665741,
0.906908447,
0.906908447,
0.909474003,
0.911782248,
0.912753366,
0.912753366,
0.91302296,
0.915054358,
0.915584809,
0.922851459,
0.922851459,
0.922851459,
0.92370034,
0.92370034,
0.924301944,
0.926113815,
0.926889501,
0.928928616,
0.928928616,
0.933270045,
0.937374896,
0.940037807,
0.940070357,
0.943729014,
0.947857585,
0.948141104,
0.948942821,
0.953010317,
0.953726391,
0.953859178,
0.956031233,
0.957473168,
0.958196524,
0.958553403,
0.958553403,
0.959020102,
0.959043337,
0.962059735,
0.962513898,
0.967176269,
0.968865736,
0.9690009,
0.970997991,
0.973207984,
0.979685889,
0.983263009,
0.983381406,
0.985387673,
0.988295936,
0.990818924,
0.993522273,
0.994532646,
0.994556315,
0.994937005,
0.997666556,
0.998230988,
1.000260912,
1.003943126,
1.006485921,
1.006485921,
1.015029841,
1.017253489,
1.024458929,
1.024800408,
1.025309239,
1.028783597,
1.031155404,
1.032640469,
1.035699289,
1.037119758,
1.037324908,
1.049633776,
1.050610879,
1.050610879,
1.050610879,
1.051947212,
1.05261075,
1.052711145,
1.053094446,
1.056090868,
1.056575741,
1.06057269,
1.061427846,
1.062496381,
1.062525813,
1.063304666,
1.063304666,
1.064428495,
1.065415995,
1.068065414,
1.069886398,
1.073977906,
1.074388695,
1.07771576,
1.079174139,
1.080785031,
1.084019764,
1.088469474,
1.092986185,
1.097644215,
1.101240914,
1.106376275,
1.108830419,
1.115502091,
1.116219489,
1.117816351,
1.119332573,
1.119332573,
1.123499844,
1.127143275,
1.129480312,
1.135144509,
1.136215538,
1.136489772,
1.137351849,
1.140801284,
1.141694802,
1.141903869,
1.144303856,
1.14724387,
1.149049866,
1.149049866,
1.150573951,
1.153094604,
1.15314982,
1.15314982,
1.155841,
1.156247948,
1.156688295,
1.156753881,
1.157766689,
1.157766689,
1.161190436,
1.161571672,
1.162224893,
1.164926614,
1.165591464,
1.168704524,
1.17037111,
1.172935547,
1.17431746,
1.174897098,
1.175482247,
1.176551441,
1.176551441,
1.17868875,
1.182236764,
1.182236764,
1.186382161,
1.189449452,
1.196964431,
1.197323946,
1.19751041,
1.201083981,
1.202698965,
1.20465558,
1.206444471,
1.207746203,
1.210482861,
1.212078798,
1.215694898,
1.215790805,
1.216821746,
1.216821746,
1.216821746,
1.217206838,
1.217669352,
1.218260763,
1.222437146,
1.228412681,
1.229340606,
1.23000486,
1.231038691,
1.231120651,
1.239072571,
1.240246901,
1.244172211,
1.248983251,
1.248983251,
1.248983251,
1.248993509,
1.250047235,
1.2525305,
1.253649283,
1.256037998,
1.260584628,
1.261725106,
1.262003221,
1.264186948,
1.264636488,
1.267813665,
1.268684089,
1.270207279,
1.270747785,
1.273308409,
1.275820059,
1.27680402,
1.281180344,
1.282792524,
1.284200026,
1.287226114,
1.293993166,
1.294705581,
1.294705581,
1.296463095,
1.296488026,
1.297736849,
1.299982865,
1.300250384,
1.300250384,
1.306963094,
1.307732584,
1.307827753,
1.308196658,
1.309500601,
1.310012708,
1.311695119,
1.315514372,
1.317516223,
1.320227354,
1.322004632,
1.322726058,
1.323262381,
1.323292454,
1.325191907,
1.325900403,
1.32673493,
1.329372134,
1.331306145,
1.334556137,
1.334966983,
1.335395854,
1.341638337,
1.342815363,
1.343573614,
1.346634091,
1.350203081,
1.35340483,
1.353603483,
1.354746993,
1.355877977,
1.357944756,
1.359957362,
1.360432679,
1.36536142,
1.367754466,
1.370264068,
1.370646953,
1.37068423,
1.371777192,
1.378934368,
1.380283084,
1.388740942,
1.389584484,
1.393273655,
1.400550371,
1.40371196,
1.40371196,
1.403756265,
1.403769711,
1.408589848,
1.41150588,
1.412286537,
1.415081089,
1.417618241,
1.420369941,
1.42708039,
1.427481504,
1.427514782,
1.427757507,
1.427847967,
1.432580724,
1.433919511,
1.435724401,
1.444940268,
1.446146869,
1.446488021,
1.446882177,
1.448179862,
1.449509338,
1.45061837,
1.45107432,
1.451717207,
1.453190887,
1.461224153,
1.477300034,
1.479091241,
1.480210222,
1.490279364,
1.497010937,
1.497010937,
1.507018389,
1.507963901,
1.510690016,
1.511668152,
1.515664634,
1.516481853,
1.516481853,
1.522873799,
1.52704395,
1.52704395,
1.52837393,
1.52837393,
1.533843834,
1.534373198,
1.535149376,
1.535694096,
1.536895135,
1.548956029,
1.554505384,
1.556223217,
1.563970772,
1.564407519,
1.565150538,
1.565973028,
1.572318558,
1.572967823,
1.575408945,
1.578486658,
1.579030944,
1.581804149,
1.582218141,
1.588513862,
1.596074818,
1.5970179,
1.598490855,
1.598698129,
1.601410157,
1.602920313,
1.604985345,
1.605917819,
1.609617116,
1.610960731,
1.614245639,
1.61513659,
1.616879479,
1.616984994,
1.620025154,
1.62215024,
1.622389679,
1.624144308,
1.62419456,
1.625808595,
1.632380567,
1.63397936,
1.637263476,
1.640758302,
1.640758302,
1.642735369,
1.648054502,
1.650001424,
1.65297534,
1.659132312,
1.671955617,
1.672053438,
1.672416572,
1.675975181,
1.677701231,
1.68415827,
1.690527862,
1.692093975,
1.692751811,
1.693079342,
1.696046901,
1.697593108,
1.697902932,
1.70113478,
1.701786494,
1.702410218,
1.704194478,
1.706255723,
1.706722681,
1.708777513,
1.709488742,
1.716107549,
1.716907038,
1.720891541,
1.730971396,
1.733929739,
1.733929739,
1.735941676,
1.73764159,
1.743148832,
1.744502436,
1.746159568,
1.747092316,
1.754503844,
1.755917675,
1.761061064,
1.763285316,
1.765583614,
1.765810356,
1.771978983,
1.774583367,
1.774583367,
1.774806228,
1.77719482,
1.780177916,
1.780177916,
1.791797335,
1.794557831,
1.794948692,
1.797028071,
1.798457108,
1.798870995,
1.802149488,
1.804095858,
1.807095061,
1.80762446,
1.809597962,
1.811017861,
1.811418256,
1.811581101,
1.812600968,
1.815731709,
1.818840915,
1.822697127,
1.823346348,
1.824083341,
1.831648054,
1.833196786,
1.836372815,
1.83762376,
1.846422864,
1.848054766,
1.85031841,
1.854340241,
1.854586213,
1.854758586,
1.858991454,
1.859956482,
1.859998917,
1.859998917,
1.859998917,
1.859998917,
1.860930844,
1.861119689,
1.864336916,
1.865254685,
1.867277739,
1.867418039,
1.869311936,
1.871520298,
1.871785041,
1.872169315,
1.872169315,
1.872169315,
1.87532729,
1.880142033,
1.880142033,
1.882400121,
1.883022912,
1.884469376,
1.891064881,
1.895150186,
1.895877833,
1.899152295,
1.899687655,
1.903869031,
1.909207466,
1.909823835,
1.910546144,
1.91127289,
1.913305672,
1.916199954,
1.916685507,
1.918306473,
1.918972602,
1.921799282,
1.922535921,
1.923809092,
1.925496862,
1.925769733,
1.92783829,
1.931336256,
1.939726248,
1.942813185,
1.946928013,
1.947585277,
1.949043635,
1.952024676,
1.952427784,
1.952494701,
1.95491889,
1.954953064,
1.967427686,
1.971644994,
1.986898274,
1.9878918,
1.992933606,
1.994755974,
2.001170365,
2.003757497,
2.007060067,
2.007060067,
2.007643775,
2.010520367,
2.010520367,
2.012019048,
2.022880473,
2.025163503,
2.02873401,
2.033359173,
2.035631068,
2.039023429,
2.039532209,
2.045434481,
2.050947034,
2.053075165,
2.055266497,
2.055266497,
2.055266497,
2.055266497,
2.055630001,
2.057802092,
2.06188075,
2.062517437,
2.064515443,
2.065144105,
2.069538023,
2.074790726,
2.075104691,
2.078695791,
2.082480588,
2.083830722,
2.086153016,
2.086153016,
2.086153016,
2.088716328,
2.089962159,
2.091956487,
2.092017445,
2.092660952,
2.093751739,
2.098067277,
2.100295712,
2.100452857,
2.102081395,
2.110822247,
2.111085332,
2.116459661,
2.117214926,
2.118840991,
2.121557539,
2.122905592,
2.122905592,
2.123120675,
2.126493221,
2.130763293,
2.137703657,
2.137703657,
2.141559329,
2.142976289,
2.146607284,
2.146896812,
2.147258647,
2.152391804,
2.152391804,
2.158737374,
2.163403603,
2.165835417,
2.168400644,
2.168854386,
2.171270815,
2.174622443,
2.174698171,
2.177764507,
2.181150399,
2.185480316,
2.186055248,
2.191929762,
2.191929762,
2.194432357,
2.195493931,
2.196304491,
2.196304491,
2.199163114,
2.199163114,
2.204534472,
2.214338324,
2.216495946,
2.217872473,
2.219896271,
2.220782433,
2.221704529,
2.221790539,
2.223642255,
2.225132987,
2.225849232,
2.232645132,
2.23506231,
2.236292787,
2.23971578,
2.24229139,
2.244935965,
2.244975923,
2.244975923,
2.246527192,
2.246527192,
2.247068105,
2.249055544,
2.249103617,
2.250797602,
2.254913829,
2.255370547,
2.255370547,
2.256625157,
2.259593393,
2.260323437,
2.262733469,
2.262733469,
2.262811535,
2.273575844,
2.275819556,
2.279061593,
2.283170042,
2.283364862,
2.288384447,
2.290588547,
2.290588547,
2.290873337,
2.291616375,
2.291651089,
2.293458108,
2.29405618,
2.294142111,
2.295283609,
2.295867717,
2.296302564,
2.303973214,
2.305520116,
2.307460016,
2.307621146,
2.310338751,
2.312195996,
2.312312992,
2.316907804,
2.317213229,
2.317652226,
2.321629485,
2.322509303,
2.323003829,
2.323024247,
2.325535906,
2.327813306,
2.327979869,
2.334267062,
2.340634495,
2.343509308,
2.348499278,
2.349072018,
2.351786027,
2.35446524,
2.355145792,
2.35679008,
2.362886153,
2.364223923,
2.364914715,
2.36574088,
2.367270864,
2.369089863,
2.370504241,
2.370799587,
2.371462088,
2.372490329,
2.372765043,
2.372765043,
2.372765043,
2.373017471,
2.373017471,
2.3732138,
2.3732138,
2.3732138,
2.378268029,
