trial_type,trial_num,location,verb_0,generalAmount_0,amount_0,verb_1,generalAmount_1,amount_1,object_0,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_1,objectID_1_0,store_1,workerid
simple,9,kitchen,costs,medium,$80,NA,NA,NA,mixer,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,10,kitchen,costs,low,$8,weighs,medium,12 pounds,watermelon,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,11,bedroom,costs,low,$10,weighs,low,3 pounds,pillow,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,12,basement,costs,low,$8,weighs,medium,16 pounds,plant,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,13,kitchen,costs,high,$400,NA,NA,NA,dishwasher,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,14,living room,costs,high,$750,weighs,high,90 pounds,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,15,kitchen,costs,medium,$70,weighs,medium,20 pounds,faucet,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,16,bathroom,costs,low,$8,NA,NA,NA,soap,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,17,bedroom,costs,high,$500,weighs,high,40 pounds,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,18,bedroom,costs,high,$750,weighs,low,3 pounds,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,19,bathroom,costs,low,$3,weighs,high,40 pounds,candles,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,20,study,costs,low,$20,weighs,high,90 pounds,basket,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,21,bathroom,costs,medium,$100,weighs,high,55 pounds,curtains,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,22,living room,costs,low,$8,weighs,high,40 pounds,basket,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,23,basement,costs,medium,$60,NA,NA,NA,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
simple,24,bathroom,costs,high,$600,weighs,low,5 pounds,window,NA,NA,NA,NA,NA,NA,NA,NA,NA,1b0ebd82361794ea6911670730081a8c
