trial_type,trial_num,location,verb_0,generalAmount_0,amount_0,verb_1,generalAmount_1,amount_1,object_0,number_0,price_0,objectID_0_0,number_1,price_1,store_0,object_1,objectID_1_0,store_1,workerid
simple,16,bedroom,costs,medium,$50,weighs,high,55 pounds,Speakers,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,17,basement,costs,low,$8,weighs,medium,13 pounds,costume,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,18,bathroom,costs,medium,$100,weighs,high,50 pounds,cabinet,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,19,bedroom,costs,high,$750,NA,NA,NA,TV,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,20,kitchen,costs,medium,$70,weighs,medium,14 pounds,echo,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,21,living room,costs,high,$600,weighs,medium,12 pounds,TV,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,22,basement,costs,high,$1000,weighs,low,4.5 pounds,Computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,23,kitchen,costs,low,$5,weighs,medium,10 pounds,Fork,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,24,living room,costs,low,$3,weighs,medium,20 pounds,Table,NA,NA,NA,NA,NA,NA,NA,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
complex,25,same,NA,NA,NA,NA,NA,NA,shoes,1,$50,NA,3,$30,surf,"shirt,socks",pair of sandals,NA,65700a71c2fccb6d6a919aece74ac8f5
complex,26,different,NA,NA,NA,NA,NA,NA,"wallet,backpack",3,$500,suitcase,2,$30,luxury,bowl,spatula,cookware,65700a71c2fccb6d6a919aece74ac8f5
complex,27,different,NA,NA,NA,NA,NA,NA,book,2,$30,magazine,2,$200,book,ammunition,shotgun,gun,65700a71c2fccb6d6a919aece74ac8f5
complex,28,same,NA,NA,NA,NA,NA,NA,whiskey,2,$100,bottle of wine,1,$10,liquor,beer,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
complex,29,same,NA,NA,NA,NA,NA,NA,shirt,2,$100,hat,2,$30,clothing,socks,socks,NA,65700a71c2fccb6d6a919aece74ac8f5
complex,30,same,NA,NA,NA,NA,NA,NA,underwear,2,$10,socks,1,$20,clothing,shirt,NA,NA,65700a71c2fccb6d6a919aece74ac8f5
simple,1,basement,costs,low,$5,NA,NA,NA,broom,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,2,bathroom,costs,high,$1000,weighs,high,70 pounds,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,3,bathroom,costs,low,$10,weighs,medium,20 pounds,hamper,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,4,kitchen,costs,low,$20,weighs,low,1.5 pounds,pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,5,bathroom,costs,medium,$50,weighs,high,50 pounds,cabinet,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,6,bedroom,costs,high,$600,weighs,medium,14 pounds,computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,7,living room,costs,high,$400,weighs,low,5 pounds,vase,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,8,bathroom,costs,low,$8,weighs,high,65 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,9,study,costs,high,$750,NA,NA,NA,bookshelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,10,kitchen,costs,medium,$90,weighs,high,65 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,11,study,costs,high,$300,weighs,high,55 pounds,desk,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,12,kitchen,costs,medium,$90,weighs,low,3.5 pounds,toaster,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,13,bathroom,costs,high,$1000,weighs,low,2.5 pounds,jewelry,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,14,living room,costs,medium,$80,NA,NA,NA,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,15,study,costs,low,$18,weighs,medium,17 pounds,chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,16,living room,costs,medium,$50,weighs,low,2 pounds,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,17,living room,costs,low,$20,weighs,medium,19 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,18,basement,costs,low,$18,weighs,high,90 pounds,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,19,kitchen,costs,medium,$80,NA,NA,NA,blender,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,20,study,costs,medium,$100,NA,NA,NA,chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,21,bedroom,costs,high,$250,NA,NA,NA,dresser,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,22,kitchen,costs,high,$600,weighs,high,85 pounds,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,23,study,costs,medium,$70,weighs,low,2.5 pounds,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
simple,24,basement,costs,high,$300,weighs,medium,17 pounds,vase,NA,NA,NA,NA,NA,NA,NA,NA,NA,95858ba331f96bee2130c1e44736dc74
complex,25,different,NA,NA,NA,NA,NA,NA,shoes,2,$100,hat,2,$30,clothing,shirt,socks,clothing,95858ba331f96bee2130c1e44736dc74
complex,26,same,NA,NA,NA,NA,NA,NA,rum,2,$100,bottle of wine,1,$10,liquor,beer,NA,NA,95858ba331f96bee2130c1e44736dc74
complex,27,same,NA,NA,NA,NA,NA,NA,gum,2,$10,socks,1,$2000,department,television,NA,NA,95858ba331f96bee2130c1e44736dc74
complex,28,different,NA,NA,NA,NA,NA,NA,"socks,tie",3,$100,suitcase,2,$30,clothing,pan,spatula,department,95858ba331f96bee2130c1e44736dc74
complex,29,same,NA,NA,NA,NA,NA,NA,shoes,1,$50,NA,1,$30,shoe,NA,pair of sandals,NA,95858ba331f96bee2130c1e44736dc74
complex,30,same,NA,NA,NA,NA,NA,NA,shirt,2,$30,magazine,2,$200,department,ammo,shotgun,NA,95858ba331f96bee2130c1e44736dc74
simple,1,basement,costs,low,$20,NA,NA,NA,basketball,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,2,kitchen,costs,medium,$80,weighs,medium,17 pounds,blender,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,3,bathroom,costs,medium,$100,weighs,medium,14 pounds,sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,4,kitchen,costs,low,$18,weighs,high,85 pounds,sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,5,kitchen,costs,low,$18,weighs,medium,19 pounds,cuttingboard,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,6,study,costs,high,$250,weighs,medium,17 pounds,monitor,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,7,bedroom,costs,high,$300,weighs,high,85 pounds,bedframe,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,8,kitchen,costs,medium,$70,NA,NA,NA,ricecooker,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,9,bedroom,costs,high,$400,weighs,low,3.5 pounds,speaker,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,10,bedroom,costs,high,$500,weighs,medium,16 pounds,television,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,11,kitchen,costs,medium,$50,weighs,low,2 pounds,pot,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,12,study,costs,medium,$50,weighs,low,1.5 pounds,textbook,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,13,study,costs,low,$13,weighs,medium,13 pounds,floormat,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,14,living room,costs,low,$10,weighs,medium,16 pounds,vase,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,15,bathroom,costs,high,$500,weighs,high,65 pounds,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,16,bathroom,costs,high,$600,NA,NA,NA,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,17,study,costs,low,$13,weighs,low,4.5 pounds,houseplant,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,18,bathroom,costs,low,$18,NA,NA,NA,scale,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,19,bathroom,costs,high,$250,weighs,medium,17 pounds,faucet,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,20,living room,costs,high,$750,weighs,medium,20 pounds,television,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,21,basement,costs,high,$250,NA,NA,NA,thermostat,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,22,basement,costs,medium,$60,weighs,medium,10 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,23,bathroom,costs,medium,$80,NA,NA,NA,fan,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
simple,24,basement,costs,low,$10,weighs,high,85 pounds,barbell,NA,NA,NA,NA,NA,NA,NA,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
complex,25,different,NA,NA,NA,NA,NA,NA,"duffle,scale",3,$100,suitcase,2,$30,luggage,pan,spatula,housewares,25b7af22cd305538d8fbf0c4e850e15e
complex,26,same,NA,NA,NA,NA,NA,NA,sandals,2,$10,socks,1,$2000,department,television,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
complex,27,same,NA,NA,NA,NA,NA,NA,sneakers,1,$50,NA,3,$30,shoe,"laces,socks",pair of sandals,NA,25b7af22cd305538d8fbf0c4e850e15e
complex,28,same,NA,NA,NA,NA,NA,NA,chair,2,$100,table,1,$10,furniture,placemat,NA,NA,25b7af22cd305538d8fbf0c4e850e15e
complex,29,same,NA,NA,NA,NA,NA,NA,flashlight,2,$30,magazine,2,$200,outdoors,shells,shotgun,NA,25b7af22cd305538d8fbf0c4e850e15e
complex,30,different,NA,NA,NA,NA,NA,NA,shirt,2,$100,hat,2,$30,clothing,sandals,socks,shoe,25b7af22cd305538d8fbf0c4e850e15e
simple,1,bedroom,costs,low,$8,weighs,high,45 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,2,bedroom,costs,high,$750,weighs,low,1.5 pounds,laptop,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,3,bathroom,costs,low,$3,weighs,low,5 pounds,hairdryer,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,4,kitchen,costs,high,$1000,weighs,medium,14 pounds,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,5,living room,costs,medium,$40,weighs,high,60 pounds,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,6,bedroom,costs,low,$13,weighs,medium,13 pounds,scales,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,7,basement,costs,medium,$50,weighs,high,60 pounds,waterpump,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,8,study,costs,low,$3,NA,NA,NA,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,9,kitchen,costs,medium,$40,weighs,low,3 pounds,pan,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,10,living room,costs,low,$18,NA,NA,NA,vase,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,11,living room,costs,medium,$100,weighs,low,4.5 pounds,television,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,12,kitchen,costs,low,$10,NA,NA,NA,knife,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,13,bedroom,costs,medium,$60,NA,NA,NA,clock,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,14,kitchen,costs,high,$300,weighs,low,4 pounds,dish,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,15,study,costs,high,$600,weighs,low,4.5 pounds,television,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,16,basement,costs,low,$5,weighs,high,60 pounds,coal,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,17,bedroom,costs,high,$500,weighs,high,85 pounds,mattress,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,18,kitchen,costs,medium,$70,weighs,medium,11 pounds,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,19,basement,costs,medium,$50,weighs,medium,14 pounds,bicycle,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,20,study,costs,medium,$60,NA,NA,NA,clock,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,21,living room,costs,low,$10,weighs,medium,17 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,22,bathroom,costs,medium,$80,weighs,medium,19 pounds,sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,23,basement,costs,low,$13,weighs,medium,10 pounds,crowbar,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,24,basement,costs,high,$300,weighs,low,4 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
complex,25,same,NA,NA,NA,NA,NA,NA,wine,2,$100,bottle of wine,1,$10,wine,wine,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
complex,26,same,NA,NA,NA,NA,NA,NA,pistol,2,$30,magazine,2,$200,gin,shells,shotgun,NA,c0f8634865acf2d9d2f3b94dcb0f2379
complex,27,different,NA,NA,NA,NA,NA,NA,"suit,shoes",3,$500,suitcase,2,$30,department,knife,spatula,kitchen,c0f8634865acf2d9d2f3b94dcb0f2379
complex,28,same,NA,NA,NA,NA,NA,NA,underwear,2,$10,socks,1,$20,department,shirt,NA,NA,c0f8634865acf2d9d2f3b94dcb0f2379
complex,29,same,NA,NA,NA,NA,NA,NA,sneakers,1,$50,NA,1,$30,shoe,NA,pair of sandals,NA,c0f8634865acf2d9d2f3b94dcb0f2379
complex,30,same,NA,NA,NA,NA,NA,NA,shoes,2,$100,hat,2,$30,department,handkerchiefs,socks,NA,c0f8634865acf2d9d2f3b94dcb0f2379
simple,1,bathroom,costs,low,$13,weighs,high,60 pounds,pipe,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,2,bedroom,costs,low,$5,weighs,low,2 pounds,pillow,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,3,bathroom,costs,medium,$70,weighs,low,2 pounds,sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,4,bedroom,costs,high,$750,NA,NA,NA,bed,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,5,basement,costs,high,$750,weighs,high,70 pounds,washer,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,6,study,costs,high,$600,NA,NA,NA,computer,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,7,study,costs,medium,$40,NA,NA,NA,bookshelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,8,bedroom,costs,high,$500,weighs,high,85 pounds,dresser,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,9,living room,costs,high,$750,weighs,high,50 pounds,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,10,kitchen,costs,medium,$90,weighs,medium,13 pounds,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,11,bedroom,costs,high,$500,weighs,medium,16 pounds,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,12,kitchen,costs,low,$8,weighs,medium,10 pounds,cutlery,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,13,study,costs,low,$10,weighs,high,85 pounds,shelf,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,14,basement,costs,high,$400,NA,NA,NA,dryer,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,15,bedroom,costs,low,$18,weighs,medium,16 pounds,towels,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,16,bathroom,costs,high,$1000,weighs,high,40 pounds,tub,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,17,bedroom,costs,medium,$80,weighs,medium,20 pounds,comforter,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,18,kitchen,costs,low,$20,weighs,high,40 pounds,sink,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,19,bedroom,costs,low,$8,weighs,high,60 pounds,radiator,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,20,living room,costs,medium,$80,weighs,high,65 pounds,humidifier,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,21,study,costs,low,$20,NA,NA,NA,textbook,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,22,bedroom,costs,medium,$90,weighs,high,70 pounds,mattress,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,23,bathroom,costs,high,$1000,weighs,medium,16 pounds,dress,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
simple,24,kitchen,costs,low,$20,NA,NA,NA,dishes,NA,NA,NA,NA,NA,NA,NA,NA,NA,612053571260d38389ccfc997a5f41d0
complex,25,same,NA,NA,NA,NA,NA,NA,socks,2,$10,socks,1,$20,shoe,shoes,NA,NA,612053571260d38389ccfc997a5f41d0
complex,26,same,NA,NA,NA,NA,NA,NA,coat,2,$100,hat,2,$30,clothing,hat,socks,NA,612053571260d38389ccfc997a5f41d0
complex,27,different,NA,NA,NA,NA,NA,NA,"backpack,briefcase",3,$100,suitcase,2,$30,bag,tongs,spatula,homegoods,612053571260d38389ccfc997a5f41d0
complex,28,same,NA,NA,NA,NA,NA,NA,liquor,2,$100,bottle of wine,1,$10,liquor,wine,NA,NA,612053571260d38389ccfc997a5f41d0
complex,29,different,NA,NA,NA,NA,NA,NA,holster,2,$30,magazine,2,$200,ammunition,holster,shotgun,gun,612053571260d38389ccfc997a5f41d0
complex,30,same,NA,NA,NA,NA,NA,NA,sneakers,1,$50,NA,1,$30,shoe,NA,pair of sandals,NA,612053571260d38389ccfc997a5f41d0
simple,1,living room,costs,high,$1000,NA,NA,NA,sofa,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,2,kitchen,costs,low,$3,weighs,high,65 pounds,scale,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,3,bedroom,costs,high,$500,weighs,medium,19 pounds,t.v.,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,4,living room,costs,high,$600,weighs,low,3.5 pounds,lamp,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,5,study,costs,low,$20,weighs,low,4.5 pounds,book,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,6,bathroom,costs,medium,$80,NA,NA,NA,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,7,living room,costs,high,$300,weighs,medium,17 pounds,table,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,8,basement,costs,high,$750,NA,NA,NA,generator,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,9,study,costs,low,$18,NA,NA,NA,pillow,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,10,basement,costs,low,$18,weighs,low,2 pounds,can,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,11,bathroom,costs,low,$3,weighs,medium,16 pounds,stool,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,12,bathroom,costs,high,$500,weighs,high,90 pounds,tub,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,13,study,costs,medium,$70,weighs,high,70 pounds,chair,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,14,study,costs,high,$500,NA,NA,NA,desk,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,15,living room,costs,low,$13,NA,NA,NA,shade,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,16,basement,costs,medium,$100,NA,NA,NA,bike,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,17,kitchen,costs,low,$5,weighs,medium,16 pounds,potatoes,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,18,study,costs,medium,$90,weighs,medium,10 pounds,vase,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,19,bedroom,costs,low,$10,weighs,high,55 pounds,chest,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,20,living room,costs,medium,$80,weighs,low,4 pounds,picture,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,21,bedroom,costs,medium,$100,NA,NA,NA,comforter,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,22,kitchen,costs,high,$250,NA,NA,NA,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,23,basement,costs,medium,$90,weighs,low,4 pounds,backpack,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,24,study,costs,low,$20,weighs,medium,13 pounds,sculpture,NA,NA,NA,NA,NA,NA,NA,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
complex,25,same,NA,NA,NA,NA,NA,NA,shoes,1,$50,NA,1,$30,shoe,NA,pair of sandals,NA,9d5a1cb3b748182fe242fc10d6a97a9c
complex,26,same,NA,NA,NA,NA,NA,NA,shirt,2,$30,magazine,2,$200,sporting,bullets,shotgun,NA,9d5a1cb3b748182fe242fc10d6a97a9c
complex,27,different,NA,NA,NA,NA,NA,NA,"clock,cord",3,$100,suitcase,2,$30,travel,knife,spatula,housewares,9d5a1cb3b748182fe242fc10d6a97a9c
complex,28,same,NA,NA,NA,NA,NA,NA,lamp,2,$100,table,1,$10,furniture,figurine,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
complex,29,different,NA,NA,NA,NA,NA,NA,belt,2,$100,hat,2,$30,clothing,shorts,socks,clothing,9d5a1cb3b748182fe242fc10d6a97a9c
complex,30,same,NA,NA,NA,NA,NA,NA,tie,2,$10,socks,1,$2000,department,suit,NA,NA,9d5a1cb3b748182fe242fc10d6a97a9c
simple,1,kitchen,costs,high,$300,weighs,medium,19 pounds,microwave,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2134995d69866e19d122c918847344e
simple,2,basement,costs,medium,$100,weighs,medium,20 pounds,rack,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2134995d69866e19d122c918847344e
simple,3,kitchen,costs,high,$750,weighs,high,60 pounds,dishwasher,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2134995d69866e19d122c918847344e
simple,4,bathroom,costs,high,$300,weighs,medium,19 pounds,toilet,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2134995d69866e19d122c918847344e
simple,5,basement,costs,high,$500,weighs,low,2.5 pounds,toolchest,NA,NA,NA,NA,NA,NA,NA,NA,NA,d2134995d69866e19d122c918847344e
